time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
17:28:44:7830,-0.2124,0.0969,0.5574,0.604
17:28:44:7930,-0.2069,-0.0385,0.5946,0.631
17:28:44:8030,-0.1445,-0.1209,0.5207,0.554
17:28:44:8149,-0.1051,-0.0926,0.5639,0.581
17:28:44:8250,-0.0371,-0.0782,0.6182,0.624
17:28:44:8350,0.1603,-0.1687,0.2650,0.353
17:28:44:8440,0.2501,-0.2226,0.0377,0.337
17:28:44:8560,0.2007,-0.2156,-0.0042,0.295
17:28:44:8640,0.0661,-0.2199,-0.1192,0.259
17:28:44:8740,0.0229,-0.2243,-0.3712,0.434
17:28:44:8840,-0.0812,-0.2606,-0.5874,0.648
17:28:44:9000,0.0002,-0.1638,-0.7151,0.734
17:28:44:9030,0.0179,-0.1050,-0.6622,0.671
17:28:44:9130,0.0158,0.0095,-0.5210,0.521
17:28:44:9240,0.0311,0.1617,-0.3744,0.409
17:28:44:9410,-0.0436,0.3162,-0.3086,0.444
17:28:44:9430,-0.0963,0.3032,-0.2970,0.435
17:28:44:9540,-0.1358,0.2612,-0.2715,0.400
17:28:44:9640,-0.0928,0.2548,-0.3176,0.418
17:28:44:9810,0.1141,0.2147,-0.5741,0.623
17:28:44:9830,0.1559,0.1960,-0.6080,0.658
17:28:44:9950,0.2493,0.1030,-0.7599,0.806
17:28:45:0040,0.2545,0.0318,-0.8534,0.891
17:28:45:0160,0.1938,-0.0416,-0.7759,0.801
17:28:45:0240,0.2017,-0.0334,-0.7084,0.737
17:28:45:0340,0.2372,-0.0393,-0.6900,0.731
17:28:45:0440,0.3192,-0.0472,-0.5536,0.641
17:28:45:0570,0.2638,-0.0663,-0.3956,0.480
17:28:45:0640,0.2317,-0.0437,-0.2896,0.373
17:28:45:0730,0.1598,-0.0326,-0.2048,0.262
17:28:45:0880,0.1162,-0.1725,-0.2665,0.338
17:28:45:1000,-0.0726,-0.8707,-0.6161,1.069
17:28:45:1030,-0.1486,-1.0546,-0.6800,1.264
17:28:45:1140,-0.3512,-1.4723,-0.6237,1.637
17:28:45:1230,-0.4943,-1.5929,-0.6821,1.802
17:28:45:1400,-0.5734,-1.3979,-1.6222,2.217
17:28:45:1429,-0.5709,-1.3868,-1.7930,2.338
17:28:45:1540,-0.5520,-1.2913,-2.6054,2.960
17:28:45:1640,-0.6864,-1.1211,-3.1618,3.424
